state,air_pollution_ranking
Alaska,15
Alabama,35
Arkansas,25
Arizona,45
California,50
Colorado,13
Connecticut,17
Delaware,39
Florida,25
Georgia,33
Hawaii,3
Iowa,25
Idaho,12
Illinois,49
Indiana,46
Kansas,28
Kentucky,33
Louisiana,35
Massachusetts,10
Maryland,22
Maine,7
Michigan,35
Minnesota,14
Missouri,30
Mississippi,31
Montana,9
North Carolina,17
North Dakota,5
Nebraska,17
New Hampshire,1
New Jersey,35
New Mexico,8
Nevada,39
New York,10
Ohio,46
Oklahoma,43
Oregon,39
Pennsylvania,48
Rhode Island,17
South Carolina,22
South Dakota,6
Tennessee,22
Texas,43
Utah,31
Virginia,15
Vermont,3
Washington,39
Wisconsin,17
West Virginia,28
Wyoming,2
